MovieID,movie title,Genre
1,Toy Story (1995),"[2, 3, 4]"
2,GoldenEye (1995),"[0, 1, 15]"
3,Four Rooms (1995),[15]
4,Get Shorty (1995),"[0, 4, 7]"
5,Copycat (1995),"[5, 7, 15]"
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),[7]
7,Twelve Monkeys (1995),"[7, 14]"
8,Babe (1995),"[3, 4, 7]"
9,Dead Man Walking (1995),[7]
10,Richard III (1995),"[7, 16]"
11,Seven (Se7en) (1995),"[5, 15]"
12,"Usual Suspects, The (1995)","[5, 15]"
13,Mighty Aphrodite (1995),[4]
14,"Postino, Il (1994)","[7, 13]"
15,Mr. Holland's Opus (1995),[7]
16,French Twist (Gazon maudit) (1995),"[4, 13]"
17,From Dusk Till Dawn (1996),"[0, 4, 5, 10, 15]"
18,"White Balloon, The (1995)",[7]
19,Antonia's Line (1995),[7]
20,Angels and Insects (1995),"[7, 13]"
21,Muppet Treasure Island (1996),"[0, 1, 4, 11, 15]"
22,Braveheart (1995),"[0, 7, 16]"
23,Taxi Driver (1976),"[7, 15]"
24,Rumble in the Bronx (1995),"[0, 1, 5]"
25,"Birdcage, The (1996)",[4]
26,"Brothers McMullen, The (1995)",[4]
27,Bad Boys (1995),[0]
28,Apollo 13 (1995),"[0, 7, 15]"
29,Batman Forever (1995),"[0, 1, 4, 5]"
30,Belle de jour (1967),[7]
31,Crimson Tide (1995),"[7, 15, 16]"
32,Crumb (1994),[6]
33,Desperado (1995),"[0, 13, 15]"
34,"Doom Generation, The (1995)","[4, 7]"
35,Free Willy 2: The Adventure Home (1995),"[1, 3, 7]"
36,Mad Love (1995),"[7, 13]"
37,Nadja (1994),[7]
38,"Net, The (1995)","[14, 15]"
39,Strange Days (1995),"[0, 5, 14]"
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",[4]
41,Billy Madison (1995),[4]
42,Clerks (1994),[4]
43,Disclosure (1994),"[7, 15]"
44,Dolores Claiborne (1994),"[7, 15]"
45,Eat Drink Man Woman (1994),"[4, 7]"
46,Exotica (1994),[7]
47,Ed Wood (1994),"[4, 7]"
48,Hoop Dreams (1994),[6]
49,I.Q. (1994),"[4, 13]"
50,Star Wars (1977),"[0, 1, 13, 14, 16]"
51,Legends of the Fall (1994),"[7, 13, 16, 17]"
52,"Madness of King George, The (1994)",[7]
53,Natural Born Killers (1994),"[0, 15]"
54,Outbreak (1995),"[0, 7, 15]"
55,"Professional, The (1994)","[5, 7, 13, 15]"
56,Pulp Fiction (1994),"[5, 7]"
57,Priest (1994),[7]
58,Quiz Show (1994),[7]
59,Three Colors: Red (1994),[7]
60,Three Colors: Blue (1993),[7]
61,Three Colors: White (1994),[7]
62,Stargate (1994),"[0, 1, 14]"
63,"Santa Clause, The (1994)","[3, 4]"
64,"Shawshank Redemption, The (1994)",[7]
65,What's Eating Gilbert Grape (1993),"[4, 7]"
66,While You Were Sleeping (1995),"[4, 13]"
67,Ace Ventura: Pet Detective (1994),[4]
68,"Crow, The (1994)","[0, 13, 15]"
69,Forrest Gump (1994),"[4, 13, 16]"
70,Four Weddings and a Funeral (1994),"[4, 13]"
71,"Lion King, The (1994)","[2, 3, 11]"
72,"Mask, The (1994)","[4, 5, 8]"
73,Maverick (1994),"[0, 4, 17]"
74,Faster Pussycat! Kill! Kill! (1965),"[0, 4, 7]"
75,Brother Minister: The Assassination of Malcolm X (1994),[6]
76,Carlito's Way (1993),"[5, 7]"
77,"Firm, The (1993)","[7, 15]"
78,Free Willy (1993),"[1, 3, 7]"
79,"Fugitive, The (1993)","[0, 15]"
80,Hot Shots! Part Deux (1993),"[0, 4, 16]"
81,"Hudsucker Proxy, The (1994)","[4, 13]"
82,Jurassic Park (1993),"[0, 1, 14]"
83,Much Ado About Nothing (1993),"[4, 13]"
84,Robert A. Heinlein's The Puppet Masters (1994),"[10, 14]"
85,"Ref, The (1994)",[4]
86,"Remains of the Day, The (1993)",[7]
87,Searching for Bobby Fischer (1993),[7]
88,Sleepless in Seattle (1993),"[4, 13]"
89,Blade Runner (1982),"[9, 14]"
90,So I Married an Axe Murderer (1993),"[4, 13, 15]"
91,"Nightmare Before Christmas, The (1993)","[3, 4, 11]"
92,True Romance (1993),"[0, 5, 13]"
93,Welcome to the Dollhouse (1995),"[4, 7]"
94,Home Alone (1990),"[3, 4]"
95,Aladdin (1992),"[2, 3, 4, 11]"
96,Terminator 2: Judgment Day (1991),"[0, 14, 15]"
97,Dances with Wolves (1990),"[1, 7, 17]"
98,"Silence of the Lambs, The (1991)","[7, 15]"
